id,grade,unit,unit_label,question,choice1,choice2,choice3,choice4,answer
1,1,physics,物理,光がまっすぐ進む性質を何というか。,光の反射,光の屈折,光の直進,全反射,3
2,1,physics,物理,鏡で光がはね返る現象を何というか。,光の直進,光源,光の反射,光の屈折,3
3,1,physics,物理,光が水やガラスなど異なる物質に入るときに起こる現象は何か。,散乱,屈折,吸収,反発,2
4,1,physics,物理,光が空気から水中に入ると、屈折角は入射角よりどうなるか。,大きくなる,小さくなる,同じになる,消える,2
5,1,physics,物理,水中から空気に光が進むとき、屈折角は入射角よりどうなるか。,小さくなる,同じになる,大きくなる,変わらない,3
6,1,physics,物理,光がある角度以上で全て反射される現象は何か。,散乱,分散,全反射,虹,3
7,1,physics,物理,白い紙が白く見えるのはなぜか。,全ての色の光を反射するから,赤い光を吸収するから,白色光を分散するから,光を遮るから,1
8,1,physics,物理,光が空気中からガラスに垂直に入るとどうなるか。,反射する,屈折する,曲がらずに進む,消える,3
9,1,physics,物理,プリズムに白色光を通すと起こる現象は何か。,吸収,分解,分散,反射,3
10,1,physics,物理,光がガラスから空気に進むとき、入射角がある角度より大きいとどうなるか。,まっすぐ進む,全反射する,吸収される,分散する,2
11,1,physics,物理,鏡に当たった光が反射するとき、等しくなる角度は何か。,入射角と屈折角,入射角と反射角,屈折角と反射角,光の強さ,2
12,1,physics,物理,鏡に映った像の大きさは実物と比べてどうか。,小さく見える,大きく見える,等しい,見えない,3
13,1,physics,物理,鏡に映った像の向きの特徴として正しいものはどれか。,上下左右が逆に見える,上下だけが逆に見える,左右だけが逆に見える,同じ向きに見える,1
14,1,physics,物理,光の反射の法則とはどのような関係か。,入射角＝屈折角,入射角＝反射角,反射角＝屈折角,どれでもない,2
15,1,physics,物理,凹凸のある面で光が様々な方向に反射することを何というか。,乱反射,全反射,吸収,直進,1
16,1,physics,物理,鏡に映る像はどのような像か。,実像,虚像,影,光像,2
17,1,physics,物理,虚像の説明として正しいものはどれか。,実際に光が集まってできる像,スクリーンに映せる像,実際には光が集まっていないが見える像,光が反射しない像,3
18,1,physics,物理,虫めがねで近くのものを観察したときに見える像はどれか。,上下が逆に見える実像,左右が逆に見える像,大きく見える虚像,映らない,3
19,1,physics,物理,凸レンズを通してスクリーンに映る像はどのような特徴があるか。,虚像でそのままの向きに見える,実像で上下左右が逆に見える,虚像で上下が逆に見える,スクリーンには映らない,2
20,1,physics,物理,全反射が起こるのはどのようなときか。,入射角が0度のとき,空気中から水中へ進むとき,屈折角が入射角より大きいとき,入射角が臨界角より大きいとき,4
21,1,physics,物理,光ファイバーが光を曲げながら進める理由は？,光を反射するから,全反射を繰り返すから,光が屈折するから,ファイバーが透明だから,2
22,1,physics,物理,鏡で全身が映るために必要な鏡の長さは？（身長の何倍か）,1倍,2倍,1/2倍,1/4倍,3
23,1,physics,物理,白色光に含まれる色として正しくないものは？,赤,緑,黒,青,3
24,1,physics,物理,プリズムを通して白色光が分かれる現象を何というか。,干渉,分散,散乱,反射,2
25,1,physics,物理,プリズムで最も大きく曲がる光の色はどれか。,赤,黄,青,紫,4
26,1,physics,物理,身長が160cmの人が、全身を映すために最低限必要な鏡の長さはどれか。,160cm,120cm,80cm,40cm,3
27,1,physics,物理,鏡に全身が映る条件として正しいものはどれか。,鏡の長さは身長の1/4以上,鏡の長さは身長の1/2以上,鏡の長さは身長と同じ,鏡の長さは身長の2倍必要,2
28,1,physics,物理,鏡と自分との距離が変わるとき、全身を映すために必要な鏡の長さはどうなるか。,離れるほど長く必要になる,近づくほど長く必要になる,距離によらず変わらない,鏡は不要になる,3
29,1,physics,物理,次のうち、全反射の性質を利用しているものはどれか。,双眼鏡,光ファイバー,デジタル時計,凸レンズ,2
30,1,physics,物理,中央がふくらんだレンズを何というか。,凹レンズ,凸レンズ,平面鏡,放物鏡,2
31,1,physics,物理,凸レンズの中心を通る光の進み方は？,反射する,屈折して曲がる,まっすぐ進む,吸収される,3
32,1,physics,物理,凸レンズに平行に入った光はどうなるか？,まっすぐ進む,レンズの中心に進む,焦点を通る,反射する,3
33,1,physics,物理,焦点とはどのような点か？,光が反射する点,光が分散する点,平行光線が集まる点,実像ができる点,3
34,1,physics,物理,凸レンズでできた像がスクリーンに映るとき、その像の名称は？,虚像,実像,影像,映像,2
35,1,physics,物理,実像はどのような性質を持つか？,スクリーンに映らない,実際に光が集まってできる,向きは変わらない,光が反射してできる,2
36,1,physics,物理,虚像の説明として正しいものはどれか？,スクリーンに映る像,実際には存在しない像,光が集まってできる像,焦点より外側にできる像,2
37,1,physics,物理,虚像はどのようなときにできるか？,物体が焦点距離より外側にあるとき,物体が焦点距離より内側にあるとき,物体が焦点距離の2倍の位置にあるとき,物体がレンズの中心にあるとき,2
38,1,physics,物理,虚像の向きの特徴は？,上下左右が逆に見える,上下が逆に見える,左右が逆に見える,上下左右が同じ向きに見える,4
39,1,physics,物理,実像の向きの特徴は？,上下左右が逆に見える,上下が逆に見える,左右が逆に見える,同じ向きに見える,1
40,1,physics,物理,物体が焦点距離の2倍より外側にあるとき、できる像は？,大きく、上下左右が同じ向きに見える像,小さく、上下左右が逆に見える像,同じ大きさで同じ向きの像,像はできない,2
41,1,physics,物理,物体が焦点距離の2倍の位置にあるとき、できる像の大きさは？,物体より小さい,物体と同じ,物体より大きい,像はできない,2
42,1,physics,物理,物体が焦点と焦点距離の2倍の位置の間にあるとき、像の大きさは？,小さい,同じ,大きい,映らない,3
43,1,physics,物理,物体が焦点の位置にあるとき、像はどうなる？,実像ができる,虚像ができる,像はできない,反射する,3
44,1,physics,物理,物体が焦点距離より内側にあるとき、できる像は？,実像,虚像,影,像はできない,2
45,1,physics,物理,虚像の大きさの特徴は？,物体と同じか小さい,物体より小さい,物体より大きい,映らない,3
46,1,physics,物理,実像ができる位置は？,焦点より内側,焦点の位置,焦点より外側,焦点とレンズの間,3
47,1,physics,物理,凸レンズを通る光の進み方で正しいものは？,中心を通る光は曲がる,平行な光は焦点を通る,焦点を通る光は散乱する,焦点を通る光は止まる,2
48,1,physics,物理,凸レンズの厚みが厚いほど、焦点距離はどうなる？,長くなる,短くなる,変わらない,焦点がなくなる,2
49,1,physics,物理,焦点距離が短い凸レンズの特徴は？,よく光を集める,よく光を反射する,よく光を通さない,画像が乱れる,1
50,1,physics,物理,実像の大きさが物体と同じになるのはどの位置？,焦点よりも内側,焦点の位置,焦点距離の2倍の位置,焦点距離の2倍より遠い位置,3
51,1,physics,物理,実像の向きが上下左右逆になるのはどれか？,すべての実像,虚像のみ,焦点距離より内側でできる像,焦点距離の位置でできる像,1
52,1,physics,物理,凸レンズを使った代表的な道具はどれか？,カメラ,メガネ,モーター,方位磁針,1
53,1,physics,物理,凸レンズを使い、スクリーン上に実像を得るためには物体をどこに置けばよいか？,焦点より外側,焦点より内側,焦点のちょうど上,どこに置いても得られる,1
54,1,physics,物理,虚像を見ることができる装置は？,スクリーン,鏡,虫めがね,ピンホールカメラ,3
